,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt_Ind,Shig_Exp,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
0,1,1,14.2,Autauga,Alabama,AL,29,6690.0,774.0,1727.0,2680,2394,0,50.0,1,31.0,0,11.0,0,0,0,0,0,0,1999-2003
1,1,3,7.2,Baldwin,Alabama,AL,16,20254.0,2533.0,4933.0,9354,7753,0,99.0,1,67.0,1,13.0,0,0,0,1,0,0,2001-2003
2,1,5,6.6,Barbour,Alabama,AL,51,6729.0,569.0,1302.0,1618,1403,0,53.0,1,29.0,0,16.0,0,0,0,0,0,0,1999-2003
3,1,7,13.1,Bibb,Alabama,AL,42,5355.0,358.0,900.0,1218,1034,1,9.0,0,32.0,0,16.0,0,0,0,0,0,0,1994-2003
4,1,9,8.4,Blount,Alabama,AL,28,11181.0,819.0,2217.0,3164,2675,0,25.0,0,31.0,1,5.0,0,0,0,0,0,0,1999-2003
5,1,13,9.5,Butler,Alabama,AL,76,4363.0,537.0,976.0,1164,1029,0,23.0,0,39.0,0,17.0,0,0,0,0,0,0,1994-2003
6,1,15,11.2,Calhoun,Alabama,AL,6,19546.0,2182.0,5722.0,6400,5545,0,31.0,0,54.0,1,33.0,0,0,0,0,0,0,2001-2003
7,1,17,17.1,Chambers,Alabama,AL,50,8718.0,849.0,1470.0,2005,1647,0,32.0,1,29.0,0,9.0,0,0,0,0,0,0,1999-2003
8,1,19,13.3,Cherokee,Alabama,AL,64,6398.0,464.0,1154.0,1436,1140,0,6.0,0,35.0,1,9.0,0,0,0,0,0,0,1994-2003
9,1,21,6.0,Chilton,Alabama,AL,32,9484.0,685.0,1887.0,2355,2009,0,13.0,0,28.0,0,8.0,0,0,0,0,0,0,1999-2003
10,1,23,13.5,Choctaw,Alabama,AL,66,3499.0,325.0,589.0,837,701,0,21.0,0,29.0,0,24.0,0,0,0,0,0,0,1994-2003
11,1,25,15.8,Clarke,Alabama,AL,51,5196.0,594.0,972.0,1494,1290,0,12.0,0,28.0,0,15.0,0,0,0,0,0,0,1999-2003
12,1,27,12.2,Clay,Alabama,AL,63,3333.0,266.0,624.0,814,664,1,14.0,0,18.0,0,4.0,0,0,0,0,0,0,1994-2003
13,1,29,10.5,Cleburne,Alabama,AL,41,3695.0,234.0,597.0,833,697,1,15.0,0,26.0,0,12.0,0,0,0,0,0,0,1994-2003
14,1,31,10.3,Coffee,Alabama,AL,32,8316.0,694.0,1940.0,2590,2179,0,85.0,1,31.0,1,9.0,0,0,0,0,0,0,1999-2003
15,1,33,13.6,Colbert,Alabama,AL,21,10160.0,1203.0,2463.0,3162,2606,0,28.0,0,36.0,0,8.0,0,0,0,0,0,0,1999-2003
