,State_FIPS_Code,County_FIPS_Code,Diabetes,FluB_Ind,Syphilis_Ind,HepA_Rpt,HepA_Ind,HepA_Exp,HepB_Rpt,HepB_Ind,HepB_Exp,Meas_Ind,Pert_Ind,Pert_Exp,CRS_Ind
0,1,1,14.2,3.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,11.0,3.0
1,1,3,7.2,3.0,3.0,2.0,3.0,22.0,17.0,4.0,9.0,3.0,3.0,27.0,3.0
2,1,5,6.6,3.0,4.0,2.0,3.0,7.0,13.5,3.0,6.0,3.0,3.0,6.0,3.0
3,1,7,13.1,3.0,4.0,2.0,3.0,14.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0
4,1,9,8.4,4.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,8.0,3.0
5,1,13,9.5,3.0,3.0,1.0,3.0,9.0,5.0,3.0,6.0,3.0,3.0,2.0,3.0
6,1,15,11.2,3.0,4.0,2.0,3.0,10.0,7.0,3.0,13.0,3.0,3.0,13.0,3.0
7,1,17,17.1,3.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0
8,1,19,13.3,3.0,3.0,2.5,3.0,7.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0
9,1,21,6.0,3.0,4.0,5.0,4.0,4.0,1.5,3.0,4.0,3.0,3.0,2.0,3.0
10,1,23,13.5,3.0,3.0,22.0,3.0,18.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0
11,1,25,15.8,4.0,4.0,1.5,3.0,7.0,10.0,3.0,6.0,3.0,3.0,6.0,3.0
12,1,27,12.2,3.0,4.0,1.0,3.0,11.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0
13,1,29,10.5,3.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0
14,1,31,10.3,3.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0
15,1,33,13.6,3.0,3.0,4.5,3.0,5.0,5.0,4.0,5.0,3.0,3.0,8.0,3.0
16,1,35,8.2,4.0,3.0,2.0,3.0,10.0,2.5,3.0,4.0,3.0,3.0,8.0,3.0
17,1,37,15.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0
18,1,39,12.1,4.0,4.0,2.0,3.0,9.0,4.0,3.0,6.0,3.0,3.0,4.0,3.0
19,1,43,10.0,4.0,3.0,5.0,3.0,8.0,3.0,3.0,8.0,3.0,3.0,12.0,3.0
20,1,45,12.1,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,7.0,3.0
21,1,47,11.5,3.0,3.0,1.0,3.0,5.0,1.0,3.0,5.0,3.0,4.0,2.0,3.0
22,1,49,7.8,3.0,3.0,4.0,3.0,10.0,1.0,3.0,7.0,3.0,3.0,3.0,3.0
23,1,51,5.5,3.0,4.0,5.0,3.0,7.0,2.0,3.0,7.0,3.0,3.0,14.0,3.0
24,1,53,11.4,4.0,4.0,1.5,3.0,10.0,2.0,3.0,8.0,3.0,3.0,8.0,3.0
25,1,55,10.2,4.0,4.0,4.0,3.0,9.0,12.0,4.0,12.0,3.0,3.0,12.0,3.0
26,1,57,12.7,3.0,4.0,2.0,3.0,15.0,2.0,3.0,6.0,3.0,3.0,2.0,3.0
27,1,59,7.2,3.0,4.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,9.0,3.0
28,1,61,9.4,3.0,4.0,1.0,3.0,8.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0
29,1,63,7.1,3.0,4.0,1.0,3.0,7.0,1.0,3.0,3.0,3.0,4.0,6.0,3.0
30,1,65,5.2,4.0,3.0,1.0,3.0,7.0,6.0,3.0,5.0,3.0,4.0,2.0,3.0
31,1,67,8.0,3.0,4.0,1.0,3.0,13.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0
32,1,69,8.8,3.0,4.0,2.0,3.0,13.0,8.0,3.0,13.0,3.0,4.0,9.0,3.0
33,1,71,6.1,4.0,3.0,7.0,4.0,5.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0
34,1,73,9.7,3.0,3.0,25.0,3.0,99.0,91.0,4.0,79.0,3.0,3.0,59.0,3.0
35,1,75,3.2,3.0,4.0,1.5,3.0,13.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0
36,1,77,6.7,3.0,4.0,2.0,3.0,9.0,4.0,3.0,9.0,3.0,3.0,13.0,3.0
37,1,79,9.2,3.0,4.0,1.0,3.0,3.0,1.5,3.0,3.0,3.0,4.0,2.0,3.0
38,1,81,7.8,3.0,4.0,10.0,4.0,12.0,3.0,3.0,6.0,4.0,3.0,6.0,3.0
39,1,83,8.1,3.0,4.0,2.0,3.0,7.0,6.0,3.0,7.0,3.0,3.0,13.0,3.0
40,1,85,9.6,4.0,4.0,1.0,3.0,15.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0
41,1,87,13.6,3.0,4.0,2.0,3.0,5.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0
42,1,89,6.5,4.0,4.0,5.0,3.0,26.0,20.0,3.0,17.0,3.0,3.0,17.0,3.0
43,1,91,11.3,4.0,3.0,1.5,3.0,7.0,2.0,3.0,7.0,3.0,3.0,2.0,3.0
44,1,93,10.1,4.0,3.0,1.5,3.0,5.0,1.0,3.0,3.0,3.0,3.0,9.0,3.0
45,1,95,7.2,3.0,4.0,8.0,4.0,8.0,8.0,4.0,4.0,3.0,3.0,4.0,3.0
46,1,97,6.6,3.0,3.0,3.0,3.0,48.0,43.0,4.0,48.0,3.0,3.0,48.0,3.0
47,1,99,8.1,3.0,3.0,1.0,3.0,7.0,1.0,3.0,7.0,3.0,4.0,2.0,3.0
48,1,101,8.5,3.0,4.0,10.0,3.0,27.0,20.0,3.0,27.0,3.0,4.0,13.0,3.0
49,1,103,6.7,3.0,4.0,16.0,4.0,7.0,4.0,3.0,7.0,3.0,3.0,10.0,3.0
50,1,107,12.8,3.0,3.0,1.0,3.0,8.0,2.0,3.0,6.0,3.0,3.0,2.0,3.0
51,1,109,11.3,3.0,4.0,1.0,3.0,7.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0
52,1,111,8.1,3.0,4.0,4.0,4.0,13.0,3.0,3.0,7.0,3.0,3.0,2.0,3.0
53,1,113,9.7,3.0,4.0,3.0,3.0,7.0,1.0,3.0,10.0,3.0,3.0,5.0,3.0
54,1,115,13.0,4.0,4.0,3.5,3.0,7.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0
55,1,117,4.8,3.0,4.0,22.0,4.0,9.0,1.0,3.0,5.0,3.0,3.0,19.0,3.0
56,1,119,11.8,3.0,4.0,2.0,3.0,17.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0
57,1,121,10.9,3.0,4.0,3.0,3.0,12.0,9.0,3.0,16.0,3.0,3.0,8.0,3.0
58,1,123,5.6,4.0,4.0,1.5,3.0,6.0,3.0,3.0,4.0,3.0,3.0,12.0,3.0
