,State_FIPS_Code,County_FIPS_Code,Diabetes_x,CHSI_County_Name_x,CHSI_State_Name_x,CHSI_State_Abbr_x,Strata_ID_Number_x,Strata_Determining_Factors,Number_Counties,Population_Size,Min_Population_Size,Max_Population_Size,Population_Density,Min_Population_Density,Max_Population_Density,Poverty,Min_Poverty,Max_Poverty,Age_19_Under,Min_Age_19_Under,Max_Age_19_Under,Age_19_64,Min_Age_19_64,Max_Age_19_65,Age_65_84,Min_Age_65_84,Max_Age_65_85,Age_85_and_Over,Min_Age_85_and_Over,Max_Age_85_and_Over,White,Min_White,Max_White,Black,Min_Black,Max_Black,Native_American,Min_Native_American,Max_Native_American,Asian,Min_Asian,Max_Asian,Hispanic,Min_Hispanic,Max_Hispanic,CHSI_County_Name_y,CHSI_State_Name_y,CHSI_State_Abbr_y,Strata_ID_Number_y,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes_y,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,CHSI_County_Name_x,CHSI_State_Name_x,CHSI_State_Abbr_x,Strata_ID_Number_x,FluB_Rpt,FluB_Ind,FluB_Exp,HepA_Rpt,HepA_Ind,HepA_Exp,HepB_Rpt,HepB_Ind,HepB_Exp,Meas_Rpt,Meas_Ind,Meas_Exp,Pert_Rpt,Pert_Ind,Pert_Exp,CRS_Rpt,CRS_Ind,CRS_Exp,Syphilis_Rpt,Syphilis_Ind,Syphilis_Exp,ID_Time_Span,Pap_Smear,CI_Min_Pap_Smear,CI_Max_Pap_Smear,Mammogram,CI_Min_Mammogram,CI_Max_Mammogram,Proctoscopy,CI_Min_Proctoscopy,CI_Max_Proctoscopy,Pneumo_Vax,CI_Min_Pneumo_Vax,CI_Max_Pneumo_Vax,Flu_Vac,CI_Min_Flu_Vac,CI_Max_Flu_Vac,CHSI_County_Name_y,CHSI_State_Name_y,CHSI_State_Abbr_y,Strata_ID_Number_y,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Rpt_Ind,Shig_Exp,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
0,1,1,14.2,Autauga,Alabama,AL,29,"frontier status, population size, poverty, age",37,48612,28447,55936,82,40,141,10.4,9.5,12.9,26.9,23.7,32.3,62.3,58.8,64.1,9.8,7.3,12.0,0.9,0.8,2.1,80.7,80.7,98.5,17.3,0.4,17.3,0.5,0.1,1.1,0.6,0.2,2.2,1.7,0.8,19.2,Autauga,Alabama,AL,29,27.8,20.7,34.9,78.6,69.4,87.8,24.5,17.3,31.7,29.1,19.2,39.0,26.6,19.1,34.0,14.2,9.1,19.3,5690,4762,1209,45.3,22.6,1,2,Autauga,Alabama,AL,29,0,3,0,1,3,4,2,3,2,0,3,0,3,3,11,0,3,0,8,4,2,1999-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Autauga,Alabama,AL,29,8,8,8,8,5,5,5,5,5,7,-1,5,8,8,5,6,8,8,8,8,8,7,Autauga,Alabama,AL,29,6690,774,1727,2680,2394,2,3,4,50,4,31,4,3,11,2883197,1,1,1,1,1,1,1999-2003
1,1,3,7.2,Baldwin,Alabama,AL,16,"frontier status, population size, poverty, age",27,162586,118395,277035,102,39,457,10.2,9.7,12.9,23.5,21.3,25.4,60.3,55.3,62.0,14.5,11.8,19.5,1.8,1.9,3.4,88.4,83.5,96.3,9.9,1.0,14.1,0.5,0.1,1.1,0.4,0.4,3.3,2.3,0.8,13.7,Baldwin,Alabama,AL,16,27.2,23.2,31.2,76.2,71.2,81.3,23.6,19.5,27.6,30.5,24.5,36.6,24.6,20.3,28.8,7.2,5.2,9.3,19798,22635,3839,67.0,30.8,1,2,Baldwin,Alabama,AL,16,0,3,4,2,3,22,17,4,9,0,3,0,0,3,27,0,3,0,0,3,4,2001-2003,86.1,81.3,90.9,82.0,74.4,89.6,44.1,37.2,51.1,58.7,50.8,66.6,61.8,54.1,69.4,Baldwin,Alabama,AL,16,8,8,8,8,5,5,5,6,6,5,-1,8,5,5,5,5,7,8,8,5,8,7,Baldwin,Alabama,AL,16,20254,2533,4933,9354,7753,2,3,4,99,4,67,41,4,13,35664,1,1,1,2,1,1,2001-2003
2,1,5,6.6,Barbour,Alabama,AL,51,"frontier status, population size, poverty, age, population density",33,28414,27269,43226,32,14,41,22.1,18.0,24.6,24.3,23.5,32.2,62.5,54.9,62.5,11.6,9.6,12.6,1.6,1.2,1.8,52.2,48.6,97.0,46.8,0.7,50.7,0.4,0.2,7.1,0.3,0.2,2.3,3.1,1.0,67.7,Barbour,Alabama,AL,51,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.6,16.2,35.0,-1111.1,-1111.1,-1111.1,17.7,10.2,25.1,6.6,2.0,11.3,5126,3288,1092,45.8,24.6,1,2,Barbour,Alabama,AL,51,0,3,0,2,3,7,0,3,6,0,3,0,0,3,6,0,3,0,6,4,3,1999-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Barbour,Alabama,AL,51,8,8,8,8,5,8,8,6,5,7,-1,8,5,8,8,5,8,8,6,8,5,7,Barbour,Alabama,AL,51,6729,569,1302,1618,1403,0,3,0,53,4,29,1,3,16,49874,1,1,1,1,1,1,1999-2003
3,1,7,13.1,Bibb,Alabama,AL,42,"frontier status, population size, poverty, age",53,21516,8134,24778,35,9,66,16.8,12.5,16.4,24.6,24.4,32.4,63.3,55.8,63.2,10.9,9.2,13.3,1.2,1.0,2.1,76.8,63.9,97.6,22.5,0.3,35.4,0.3,0.1,2.6,0.1,0.1,1.5,1.4,1.2,46.9,Bibb,Alabama,AL,42,-1111.1,-1111.1,-1111.1,86.6,77.8,95.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.1,4.7,21.5,3315,2390,974,41.8,18.6,1,1,Bibb,Alabama,AL,42,0,3,0,2,3,14,4,3,4,0,3,0,3,4,6,0,3,0,2,4,6,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Bibb,Alabama,AL,42,8,8,8,8,5,5,6,8,8,7,-1,8,8,8,5,6,8,8,8,8,8,7,Bibb,Alabama,AL,42,5355,358,900,1218,1034,2,4,2,9,3,32,3,3,16,7302,1,1,1,1,1,1,1994-2003
4,1,9,8.4,Blount,Alabama,AL,28,"frontier status, population size, poverty, age",39,55725,29009,53844,86,30,229,11.9,9.4,13.4,24.5,21.8,26.1,62.1,61.0,66.2,12.1,8.8,13.5,1.3,1.2,2.1,97.1,78.1,97.6,1.5,0.6,20.5,0.5,0.1,0.9,0.2,0.3,2.2,6.3,0.8,6.3,Blount,Alabama,AL,28,33.5,26.3,40.6,74.6,66.1,83.0,24.2,17.2,31.2,-1111.1,-1111.1,-1111.1,23.6,16.7,30.4,8.4,4.4,12.4,8131,5019,1300,16.2,10.8,2,1,Blount,Alabama,AL,28,2,4,3,3,3,5,3,3,5,0,3,0,3,3,8,0,3,0,0,3,3,1999-2003,87.2,79.7,94.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Blount,Alabama,AL,28,7,8,8,8,5,5,8,8,8,-1,8,8,8,8,5,5,7,8,8,5,8,7,Blount,Alabama,AL,28,11181,819,2217,3164,2675,1,3,5,25,3,31,11,4,5,889020,1,1,1,1,1,1,1999-2003
5,1,13,9.5,Butler,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,20766,9226,23786,27,24,42,20.0,16.7,23.3,25.6,24.8,29.5,58.5,56.1,60.6,13.6,11.1,14.3,2.4,1.6,2.6,57.5,48.3,91.8,41.9,4.4,50.9,0.2,0.0,2.0,0.3,0.2,0.7,0.9,0.9,12.1,Butler,Alabama,AL,76,24.5,15.5,33.5,-1111.1,-1111.1,-1111.1,22.0,13.0,31.0,-1111.1,-1111.1,-1111.1,27.3,17.6,37.0,9.5,4.4,14.6,4055,3150,952,43.3,19.3,1,2,Butler,Alabama,AL,76,0,3,0,0,3,9,5,3,6,0,3,0,0,3,2,0,3,0,7,3,21,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Butler,Alabama,AL,76,6,6,8,6,7,8,6,5,5,5,-1,5,6,5,5,8,8,5,8,8,6,7,Butler,Alabama,AL,76,4363,537,976,1164,1029,0,3,0,23,3,39,5,3,17,98136,1,1,1,1,1,1,1994-2003
6,1,15,11.2,Calhoun,Alabama,AL,6,"frontier status, population size, poverty",53,112141,111380,231954,184,43,697,16.4,12.4,16.5,24.1,22.4,29.6,61.6,57.8,62.9,12.7,8.5,16.2,1.5,1.1,2.7,78.3,65.8,95.0,19.7,1.0,30.1,0.4,0.3,1.9,0.8,0.7,3.4,2.0,1.9,21.0,Calhoun,Alabama,AL,6,29.2,25.1,33.3,81.9,77.2,86.7,27.0,22.8,31.1,33.2,26.9,39.6,25.5,21.3,29.7,11.2,8.4,13.9,16456,16440,5301,75.8,41.9,1,2,Calhoun,Alabama,AL,6,1,3,0,2,3,10,7,3,13,0,3,0,0,3,13,0,3,0,7,4,7,2001-2003,82.7,77.0,88.4,76.5,67.3,85.6,46.2,37.8,54.6,57.3,47.6,67.1,56.2,46.6,65.9,Calhoun,Alabama,AL,6,8,8,8,8,5,5,5,8,6,8,-1,8,8,8,5,6,8,8,8,8,6,7,Calhoun,Alabama,AL,6,19546,2182,5722,6400,5545,0,3,3,31,3,54,33,4,33,808521,1,1,1,1,1,1,2001-2003
7,1,17,17.1,Chambers,Alabama,AL,50,"frontier status, population size, poverty, age, population density",27,35460,27028,48148,59,56,140,16.2,13.7,16.2,24.8,20.8,25.3,59.5,56.8,63.8,13.5,11.6,16.2,2.2,1.7,3.3,60.8,70.1,98.4,38.6,0.3,28.8,0.1,0.1,0.5,0.2,0.2,1.9,1.2,0.6,3.1,Chambers,Alabama,AL,50,34.7,25.3,44.0,84.6,75.4,93.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.7,6.2,17.1,17.1,10.2,24.1,5533,5473,1497,53.6,22.6,1,2,Chambers,Alabama,AL,50,0,3,0,2,3,4,0,3,4,1,4,0,0,3,2,0,3,0,1,4,2,1999-2003,87.9,78.4,97.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Chambers,Alabama,AL,50,8,8,8,8,5,8,8,6,5,5,-1,6,6,8,5,5,8,6,8,8,6,7,Chambers,Alabama,AL,50,8718,849,1470,2005,1647,0,3,2,32,4,29,1,3,9,276636,1,1,1,1,1,1,1999-2003
8,1,19,13.3,Cherokee,Alabama,AL,64,"frontier status, population size, poverty, age, population density",41,24522,9340,25391,44,35,46,15.2,12.0,15.7,21.9,19.6,24.3,61.4,58.6,61.6,15.2,12.9,17.7,1.4,1.6,2.9,93.3,87.8,98.8,5.5,0.4,10.8,0.3,0.1,0.9,0.3,0.1,0.5,1.1,0.6,7.8,Cherokee,Alabama,AL,64,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,23.6,14.2,33.0,13.3,6.8,19.8,3583,3086,854,28.5,12.2,2,1,Cherokee,Alabama,AL,64,1,3,0,0,3,7,2,3,5,0,3,0,0,3,5,0,3,0,1,3,0,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Cherokee,Alabama,AL,64,8,7,7,8,5,5,5,8,6,-1,-1,5,8,5,5,5,-1,6,8,6,8,7,Cherokee,Alabama,AL,64,6398,464,1154,1436,1140,1,3,2,6,3,35,6,4,9,7077,1,1,1,1,1,1,1994-2003
9,1,21,6.0,Chilton,Alabama,AL,32,"frontier status, population size, poverty, age",37,41744,29918,51327,60,25,310,14.9,12.7,17.8,25.0,20.8,25.4,62.6,60.9,67.2,11.3,8.1,13.9,1.2,1.2,2.0,88.3,71.9,98.0,10.5,0.9,24.1,0.3,0.1,5.4,0.4,0.3,2.1,3.7,0.6,6.7,Chilton,Alabama,AL,32,30.3,23.1,37.5,82.8,75.2,90.4,31.2,24.0,38.4,26.5,17.2,35.8,30.0,22.0,38.0,6.0,3.2,8.9,6130,4527,1307,31.1,19.2,1,2,Chilton,Alabama,AL,32,0,3,0,5,4,4,0,3,4,0,3,0,1,3,2,0,3,0,3,4,2,1999-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,Chilton,Alabama,AL,32,8,8,8,8,5,5,8,8,8,8,-1,8,8,5,5,6,7,6,8,8,8,7,Chilton,Alabama,AL,32,9484,685,1887,2355,2009,0,3,2,13,3,28,0,3,8,20846,1,1,1,1,1,1,1999-2003
