,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind
0,1,1,14.2,Autauga,Alabama,AL,29,8,8,8,8,5,5,5,5,5,7,-1,5,8,8,5,6,8,8,8,8,8,7
1,1,3,7.2,Baldwin,Alabama,AL,16,8,8,8,8,5,5,5,6,6,5,-1,8,5,5,5,5,7,8,8,5,8,7
2,1,5,6.6,Barbour,Alabama,AL,51,8,8,8,8,5,8,8,6,5,7,-1,8,5,8,8,5,8,8,6,8,5,7
3,1,7,13.1,Bibb,Alabama,AL,42,8,8,8,8,5,5,6,8,8,7,-1,8,8,8,5,6,8,8,8,8,8,7
4,1,9,8.4,Blount,Alabama,AL,28,7,8,8,8,5,5,8,8,8,-1,8,8,8,8,5,5,7,8,8,5,8,7
5,1,13,9.5,Butler,Alabama,AL,76,6,6,8,6,7,8,6,5,5,5,-1,5,6,5,5,8,8,5,8,8,6,7
6,1,15,11.2,Calhoun,Alabama,AL,6,8,8,8,8,5,5,5,8,6,8,-1,8,8,8,5,6,8,8,8,8,6,7
7,1,17,17.1,Chambers,Alabama,AL,50,8,8,8,8,5,8,8,6,5,5,-1,6,6,8,5,5,8,6,8,8,6,7
8,1,19,13.3,Cherokee,Alabama,AL,64,8,7,7,8,5,5,5,8,6,-1,-1,5,8,5,5,5,-1,6,8,6,8,7
9,1,21,6.0,Chilton,Alabama,AL,32,8,8,8,8,5,5,8,8,8,8,-1,8,8,5,5,6,7,6,8,8,8,7
10,1,23,13.5,Choctaw,Alabama,AL,66,8,6,6,6,7,6,6,8,8,8,-1,8,8,8,8,6,8,8,8,8,5,5
