,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
0,1,1,Autauga,Alabama,AL,29,27.8,20.7,34.9,78.6,69.4,87.8,24.5,17.3,31.7,29.1,19.2,39.0,26.6,19.1,34.0,14.2,9.1,19.3,5690.0,4762.0,1209.0,45.3,22.6,1.0,2.0
1,1,3,Baldwin,Alabama,AL,16,27.2,23.2,31.2,76.2,71.2,81.3,23.6,19.5,27.6,30.5,24.5,36.6,24.6,20.3,28.8,7.2,5.2,9.3,19798.0,22635.0,3839.0,67.0,30.8,1.0,2.0
2,1,5,Barbour,Alabama,AL,51,23.55,17.05,29.95,84.80000000000001,77.1,92.5,25.6,16.2,35.0,23.95,14.350000000000001,33.6,17.7,10.2,25.1,6.6,2.0,11.3,5126.0,3288.0,1092.0,45.8,24.6,1.0,2.0
3,1,7,Bibb,Alabama,AL,42,24.95,17.1,32.75,86.6,77.8,95.4,25.05,16.75,33.4,21.35,11.850000000000001,30.9,19.15,10.45,27.85,13.1,4.7,21.5,3315.0,2390.0,974.0,41.8,18.6,1.0,1.0
4,1,9,Blount,Alabama,AL,28,33.5,26.3,40.6,74.6,66.1,83.0,24.2,17.2,31.2,26.2,18.7,33.75,23.6,16.7,30.4,8.4,4.4,12.4,8131.0,5019.0,1300.0,16.2,10.8,2.0,1.0
5,1,11,Bullock,Alabama,AL,75,21.6,13.600000000000001,29.6,89.6,81.80000000000001,97.4,24.0,16.1,32.0,23.9,14.7,33.15,20.299999999999997,11.95,28.700000000000003,6.550000000000001,2.3,10.850000000000001,2295.0,1433.0,504.0,54.3,18.1,1.0,1.0
6,1,13,Butler,Alabama,AL,76,24.5,15.5,33.5,86.45,79.05000000000001,93.85,22.0,13.0,31.0,22.95,13.5,32.5,27.3,17.6,37.0,9.5,4.4,14.6,4055.0,3150.0,952.0,43.3,19.3,1.0,2.0
7,1,15,Calhoun,Alabama,AL,6,29.2,25.1,33.3,81.9,77.2,86.7,27.0,22.8,31.1,33.2,26.9,39.6,25.5,21.3,29.7,11.2,8.4,13.9,16456.0,16440.0,5301.0,75.8,41.9,1.0,2.0
8,1,17,Chambers,Alabama,AL,50,34.7,25.3,44.0,84.6,75.4,93.7,21.75,14.9,28.65,23.75,14.399999999999999,33.15,11.7,6.2,17.1,17.1,10.2,24.1,5533.0,5473.0,1497.0,53.6,22.6,1.0,2.0
9,1,19,Cherokee,Alabama,AL,64,26.2,18.85,33.5,84.9,78.1,91.8,24.25,16.45,32.05,21.75,12.2,31.3,23.6,14.2,33.0,13.3,6.8,19.8,3583.0,3086.0,854.0,28.5,12.2,2.0,1.0
10,1,21,Chilton,Alabama,AL,32,30.3,23.1,37.5,82.8,75.2,90.4,31.2,24.0,38.4,26.5,17.2,35.8,30.0,22.0,38.0,6.0,3.2,8.9,6130.0,4527.0,1307.0,31.1,19.2,1.0,2.0
11,1,23,Choctaw,Alabama,AL,66,24.9,17.55,32.150000000000006,80.94999999999999,72.45,89.45,22.9,15.399999999999999,30.4,20.25,10.95,29.55,17.1,8.5,25.8,13.5,6.6,20.3,2677.0,2148.0,800.0,33.8,20.3,1.0,1.0
12,1,25,Clarke,Alabama,AL,51,31.5,22.0,41.1,80.25,72.2,88.3,25.6,18.0,33.2,20.5,11.25,29.8,30.0,22.45,37.6,15.8,8.2,23.4,4593.0,3850.0,1150.0,55.0,29.3,2.0,2.0
13,1,27,Clay,Alabama,AL,63,23.95,16.9,31.0,76.0,66.35,85.6,25.15,17.65,32.7,26.65,18.0,35.3,23.9,14.3,33.5,12.2,4.4,20.0,2320.0,2198.0,610.0,35.8,14.3,2.0,1.0
14,1,29,Cleburne,Alabama,AL,41,29.5,21.400000000000002,37.55,86.85,80.6,93.05000000000001,23.45,15.0,31.9,17.15,7.8,26.55,20.25,13.25,27.25,10.5,3.6,17.5,2107.0,1852.0,646.0,73.7,6.9,2.0,1.0
15,1,31,Coffee,Alabama,AL,32,23.3,17.2,29.4,82.85,77.35,88.30000000000001,25.5,18.7,32.3,31.3,21.7,40.9,23.0,16.9,29.1,10.3,4.1,16.6,6764.0,6099.0,1366.0,48.3,39.5,1.0,2.0
16,1,33,Colbert,Alabama,AL,21,30.2,23.3,37.2,76.9,66.8,86.9,30.1,22.2,38.0,19.45,11.0,27.95,21.7,15.5,27.9,13.6,8.9,18.3,8141.0,8226.0,2302.0,60.4,31.1,1.0,2.0
17,1,35,Conecuh,Alabama,AL,75,28.0,20.95,35.0,79.1,70.6,87.65,26.7,19.05,34.35,20.25,10.95,29.55,12.3,3.7,20.9,8.2,2.9,13.6,2657.0,1947.0,725.0,60.3,7.5,1.0,1.0
